algo,size,bend,colour1,colour2,distance,length,width,run,coverage,MSE,replacements,variation
'revised',1,1,10,10,1,10,10,1,14045,5.826608796296297,737,10L10W
'revised',1,1,10,10,1,10,10,2,13950,6.158576388888889,689,10L10W
'revised',1,1,10,10,1,10,10,3,19888,8.431111111111111,691,10L10W
'revised',1,1,10,10,1,10,10,4,17661,7.737048611111111,685,10L10W
'revised',1,1,10,10,1,10,10,5,11878,5.612586805555556,640,10L10W
'revised',1,1,10,10,10,10,10,1,12908,5.867922453703704,549,10L10W
'revised',1,1,10,10,10,10,10,2,13741,5.604542824074074,738,10L10W
'revised',1,1,10,10,10,10,10,3,11041,4.863958333333334,500,10L10W
'revised',1,1,10,10,10,10,10,4,14620,6.475376157407408,582,10L10W
'revised',1,1,10,10,10,10,10,5,16615,7.561603009259259,649,10L10W
'revised',1,1,10,10,100,10,10,1,10415,4.846747685185186,602,10L10W
'revised',1,1,10,10,100,10,10,2,11642,4.745086805555555,850,10L10W
'revised',1,1,10,10,100,10,10,3,7822,3.5295543981481483,768,10L10W
'revised',1,1,10,10,100,10,10,4,12328,5.735428240740741,614,10L10W
'revised',1,1,10,10,100,10,10,5,8929,4.3390914351851855,615,10L10W
'revised',1,1,10,10,1,0,0,1,19153,7.958929398148148,590,control
'revised',1,1,10,10,1,0,0,2,14131,5.680740740740741,586,control
'revised',1,1,10,10,1,0,0,3,16885,6.930706018518518,761,control
'revised',1,1,10,10,1,0,0,4,16768,7.1023148148148145,680,control
'revised',1,1,10,10,1,0,0,5,17204,7.393674768518519,657,control
'revised',1,1,10,10,10,0,0,1,16261,6.9083854166666665,812,control
'revised',1,1,10,10,10,0,0,2,10639,4.461857638888889,641,control
'revised',1,1,10,10,10,0,0,3,10799,5.032690972222222,478,control
'revised',1,1,10,10,10,0,0,4,12826,5.721267361111111,591,control
'revised',1,1,10,10,10,0,0,5,11429,4.689751157407407,552,control
'revised',1,1,10,10,100,0,0,1,11968,5.110752314814815,687,control
'revised',1,1,10,10,100,0,0,2,8955,4.220619212962963,610,control
'revised',1,1,10,10,100,0,0,3,11676,5.466851851851852,638,control
'revised',1,1,10,10,100,0,0,4,8293,4.056684027777778,581,control
'revised',1,1,10,10,100,0,0,5,11694,5.621510416666666,553,control
'revised',1,1,10,0,1,10,10,1,10841,4.9481828703703705,568,10A10L10W
'revised',1,1,10,0,1,10,10,2,19358,8.807413194444445,728,10A10L10W
'revised',1,1,10,0,1,10,10,3,14463,6.2942534722222225,653,10A10L10W
'revised',1,1,10,0,1,10,10,4,18669,8.571996527777777,695,10A10L10W
'revised',1,1,10,0,1,10,10,5,21941,10.121631944444445,679,10A10L10W
'revised',1,1,10,0,10,10,10,1,20083,9.207384259259259,709,10A10L10W
'revised',1,1,10,0,10,10,10,2,17622,7.502690972222222,625,10A10L10W
'revised',1,1,10,0,10,10,10,3,9675,3.64796875,629,10A10L10W
'revised',1,1,10,0,10,10,10,4,22740,10.500659722222222,670,10A10L10W
'revised',1,1,10,0,10,10,10,5,21963,9.816192129629629,629,10A10L10W
'revised',1,1,10,0,100,10,10,1,7998,3.611267361111111,662,10A10L10W
'revised',1,1,10,0,100,10,10,2,11471,5.359670138888889,761,10A10L10W
'revised',1,1,10,0,100,10,10,3,12571,5.790069444444445,681,10A10L10W
'revised',1,1,10,0,100,10,10,4,14298,6.362586805555556,676,10A10L10W
'revised',1,1,10,0,100,10,10,5,7044,3.2230324074074073,600,10A10L10W
'revised',1,1,10,0,1,1,1,1,22158,9.515376157407408,664,10A1L1W
'revised',1,1,10,0,1,1,1,2,18639,8.092100694444444,788,10A1L1W
'revised',1,1,10,0,1,1,1,3,18856,8.433246527777778,715,10A1L1W
'revised',1,1,10,0,1,1,1,4,13374,5.776157407407408,589,10A1L1W
'revised',1,1,10,0,1,1,1,5,21751,9.590399305555556,818,10A1L1W
'revised',1,1,10,0,10,1,1,1,20172,9.11458912037037,612,10A1L1W
'revised',1,1,10,0,10,1,1,2,14829,6.066626157407407,729,10A1L1W
'revised',1,1,10,0,10,1,1,3,26581,12.375243055555556,809,10A1L1W
'revised',1,1,10,0,10,1,1,4,16530,7.096846064814815,659,10A1L1W
'revised',1,1,10,0,10,1,1,5,14042,6.0591435185185185,546,10A1L1W
'revised',1,1,10,0,100,1,1,1,13046,5.764050925925926,642,10A1L1W
'revised',1,1,10,0,100,1,1,2,12298,6.053877314814815,659,10A1L1W
'revised',1,1,10,0,100,1,1,3,12806,5.8316840277777775,731,10A1L1W
'revised',1,1,10,0,100,1,1,4,14263,6.388385416666667,692,10A1L1W
'revised',1,1,10,0,100,1,1,5,10954,5.095792824074074,669,10A1L1W
'revised',1,1,10,0,1,100,100,1,19492,9.205341435185185,632,10A100L100W
'revised',1,1,10,0,1,100,100,2,17495,7.088153935185185,663,10A100L100W
'revised',1,1,10,0,1,100,100,3,17529,7.528998842592593,606,10A100L100W
'revised',1,1,10,0,1,100,100,4,14211,6.766435185185185,602,10A100L100W
'revised',1,1,10,0,1,100,100,5,12804,5.2667476851851855,578,10A100L100W
'revised',1,1,10,0,10,100,100,1,12573,5.784137731481482,651,10A100L100W
'revised',1,1,10,0,10,100,100,2,17312,7.758969907407407,632,10A100L100W
'revised',1,1,10,0,10,100,100,3,11054,4.737789351851852,643,10A100L100W
'revised',1,1,10,0,10,100,100,4,23115,10.280434027777778,644,10A100L100W
'revised',1,1,10,0,10,100,100,5,17592,7.919542824074074,647,10A100L100W
'revised',1,1,10,0,100,100,100,1,10141,4.827552083333333,714,10A100L100W
'revised',1,1,10,0,100,100,100,2,7082,3.466203703703704,518,10A100L100W
'revised',1,1,10,0,100,100,100,3,6873,3.8021469907407406,656,10A100L100W
'revised',1,1,10,0,100,100,100,4,8777,4.052528935185185,720,10A100L100W
'revised',1,1,10,0,100,100,100,5,9533,4.594172453703703,547,10A100L100W
'revised',1,1,10,0,1,0,0,1,13967,6.477065972222222,577,10A
'revised',1,1,10,0,1,0,0,2,22006,9.976996527777779,634,10A
'revised',1,1,10,0,1,0,0,3,15291,6.90457175925926,637,10A
'revised',1,1,10,0,1,0,0,4,19768,9.26142361111111,748,10A
'revised',1,1,10,0,1,0,0,5,15718,6.501047453703704,664,10A
'revised',1,1,10,0,10,0,0,1,26503,12.322494212962964,662,10A
'revised',1,1,10,0,10,0,0,2,17058,7.692511574074074,675,10A
'revised',1,1,10,0,10,0,0,3,14509,6.561701388888889,577,10A
'revised',1,1,10,0,10,0,0,4,17720,7.124901620370371,636,10A
'revised',1,1,10,0,10,0,0,5,30841,13.47195023148148,788,10A
'revised',1,1,10,0,100,0,0,1,15401,6.775920138888889,732,10A
'revised',1,1,10,0,100,0,0,2,11438,5.251475694444444,800,10A
'revised',1,1,10,0,100,0,0,3,7133,3.3909837962962963,699,10A
'revised',1,1,10,0,100,0,0,4,14731,7.077679398148148,693,10A
'revised',1,1,10,0,100,0,0,5,13532,6.088634259259259,771,10A
'revised',0,1,10,0,1,1,1,1,6516,3.2137962962962963,626,0S10A1L1W
'revised',0,1,10,0,1,1,1,2,9023,4.043611111111111,605,0S10A1L1W
'revised',0,1,10,0,1,1,1,3,8737,4.1190625,624,0S10A1L1W
'revised',0,1,10,0,1,1,1,4,8538,3.746603009259259,599,0S10A1L1W
'revised',0,1,10,0,1,1,1,5,7627,3.6968287037037038,621,0S10A1L1W
'revised',0,1,10,0,10,1,1,1,6478,2.9629108796296295,564,0S10A1L1W
'revised',0,1,10,0,10,1,1,2,9604,4.683825231481482,612,0S10A1L1W
'revised',0,1,10,0,10,1,1,3,7221,3.791284722222222,675,0S10A1L1W
'revised',0,1,10,0,10,1,1,4,8297,3.277152777777778,637,0S10A1L1W
'revised',0,1,10,0,10,1,1,5,6780,3.1978530092592594,531,0S10A1L1W
'revised',0,1,10,0,100,1,1,1,6968,3.4772800925925926,664,0S10A1L1W
'revised',0,1,10,0,100,1,1,2,5860,2.7792824074074076,587,0S10A1L1W
'revised',0,1,10,0,100,1,1,3,6162,2.5685243055555556,869,0S10A1L1W
'revised',0,1,10,0,100,1,1,4,10971,5.258819444444445,679,0S10A1L1W
'revised',0,1,10,0,100,1,1,5,3535,1.6560648148148147,619,0S10A1L1W
'revised',0,1,100,0,1,1,1,1,6845,3.130931712962963,609,0S100A1L1W
'revised',0,1,100,0,1,1,1,2,7439,3.63068287037037,641,0S100A1L1W
'revised',0,1,100,0,1,1,1,3,5121,2.148645833333333,601,0S100A1L1W
'revised',0,1,100,0,1,1,1,4,7661,3.6473495370370372,584,0S100A1L1W
'revised',0,1,100,0,1,1,1,5,7359,3.2902141203703703,617,0S100A1L1W
'revised',0,1,100,0,10,1,1,1,5173,2.6135474537037036,540,0S100A1L1W
'revised',0,1,100,0,10,1,1,2,8183,3.995034722222222,630,0S100A1L1W
'revised',0,1,100,0,10,1,1,3,7687,3.4205381944444446,708,0S100A1L1W
'revised',0,1,100,0,10,1,1,4,8352,4.089201388888889,538,0S100A1L1W
'revised',0,1,100,0,10,1,1,5,8673,3.962193287037037,602,0S100A1L1W
'revised',0,1,1,0,1,1,1,1,7103,2.9064467592592593,643,0S1A1L1W
'revised',0,1,1,0,1,1,1,2,6779,2.8828935185185185,599,0S1A1L1W
'revised',0,1,1,0,1,1,1,3,5347,2.456076388888889,588,0S1A1L1W
'revised',0,1,1,0,1,1,1,4,8139,3.5963425925925927,616,0S1A1L1W
'revised',0,1,1,0,1,1,1,5,11893,5.437175925925926,621,0S1A1L1W
'revised',0,1,1,0,10,1,1,1,5367,2.7130092592592594,640,0S1A1L1W
'revised',0,1,1,0,10,1,1,2,6059,3.3027430555555557,762,0S1A1L1W
'revised',0,1,1,0,10,1,1,3,5699,2.904380787037037,513,0S1A1L1W
'revised',0,1,1,0,10,1,1,4,6356,3.1671180555555556,685,0S1A1L1W
'revised',0,1,1,0,10,1,1,5,7398,3.637974537037037,615,0S1A1L1W
'revised',0,1,1,0,100,1,1,1,6663,3.4442766203703705,881,0S1A1L1W
'revised',0,1,1,0,100,1,1,2,4726,2.517216435185185,768,0S1A1L1W
'revised',0,1,1,0,100,1,1,3,4854,2.664982638888889,722,0S1A1L1W
'revised',0,1,1,0,100,1,1,4,5580,3.190590277777778,823,0S1A1L1W
'revised',0,1,1,0,100,1,1,5,6181,3.5400810185185185,620,0S1A1L1W
