trial,algorithm,size,bend,colour,distance,length,width,run,coverage,MSE,replacements,less_than_20s,variation
1,Base,1,100,10A10B,10,0,0,1,11322,5.357800925925926,525,12,control
1,Base,1,100,10A10B,10,0,0,2,7934,3.2652546296296294,494,16,control
1,Base,1,100,10A10B,10,0,0,3,8360,3.6101331018518517,696,11,control
1,Base,1,100,10A10B,10,0,0,4,16288,7.285237268518519,642,12,control
1,Base,1,100,10A10B,10,0,0,5,12968,5.093327546296297,640,16,control
1,Base,1,100,10A10B,10,0,0,6,17291,7.519855324074074,798,6,control
1,Base,1,100,10A10B,10,0,0,7,15546,6.210671296296296,583,13,control
1,Base,1,100,10A10B,10,0,0,8,12361,5.660960648148148,630,10,control
1,Base,1,100,10A10B,10,0,0,9,18006,8.077118055555555,762,11,control
1,Base,1,100,10A10B,10,0,0,0,16266,6.905034722222222,543,12,control
2,Base,1,100,10A10B,10,100,0,1,16956,7.191417824074074,695,10,100L
2,Base,1,100,10A10B,10,100,0,2,14523,6.429027777777778,614,13,100L
2,Base,1,100,10A10B,10,100,0,3,16902,7.665173611111111,623,11,100L
2,Base,1,100,10A10B,10,100,0,4,14642,7.391197916666667,646,9,100L
2,Base,1,100,10A10B,10,100,0,5,15145,6.576944444444444,597,13,100L
2,Base,1,100,10A10B,10,100,0,6,13533,6.396805555555556,520,9,100L
2,Base,1,100,10A10B,10,100,0,7,9845,4.407708333333333,638,14,100L
2,Base,1,100,10A10B,10,100,0,8,12824,5.3772974537037035,696,12,100L
2,Base,1,100,10A10B,10,100,0,9,12974,5.528773148148148,794,10,100L
2,Base,1,100,10A10B,10,100,0,0,9321,4.426111111111111,646,11,100L
3,Base,1,100,10A10B,10,0,1000,1,17535,7.817002314814815,589,16,1000W
3,Base,1,100,10A10B,10,0,1000,2,20551,9.654484953703705,577,11,1000W
3,Base,1,100,10A10B,10,0,1000,3,18528,7.529444444444445,802,12,1000W
3,Base,1,100,10A10B,10,0,1000,4,14514,5.8900752314814815,693,15,1000W
3,Base,1,100,10A10B,10,0,1000,5,20075,8.809114583333333,674,6,1000W
